Generic_ID,Generic_Name,Active_Ingredient,Category,Strengths_Available,Dosage_Forms,Route
G105,Amlodipine,Amlodipine,Antihypertensive (CCB),"5mg, 10mg",Tablet,Oral
G106,Irbesartan/Amlodipine,Irbesartan + Amlodipine,Antihypertensive,300mg/10mg,Tablet,Oral
G107,Candesartan/Hydrochlorothiazide,Candesartan + Hydrochlorothiazide,Antihypertensive,16mg/12.5mg,Tablet,Oral
G108,Candesartan,Candesartan,Antihypertensive (ARB),"8mg, 16mg, 32mg",Tablet,Oral
G109,Atorvastatin,Atorvastatin,Lipid Lowering (Statin),"10mg, 20mg, 40mg",Tablet,Oral
G110,Metformin,Metformin,Antidiabetic (Biguanide),"500mg, 850mg, 1000mg",Tablet,Oral
G111,Bendroflumethiazide,Bendroflumethiazide,Diuretic (Thiazide),2.5mg,Tablet,Oral
G112,Propranolol,Propranolol,Antihypertensive (Beta Blocker),40mg,Tablet,Oral
G113,Bisoprolol,Bisoprolol,Antihypertensive (Beta Blocker),2.5mg,Tablet,Oral
G114,Valsartan,Valsartan,Antihypertensive (ARB),"80mg, 160mg",Tablet,Oral
G115,Valsartan/Hydrochlorothiazide,Valsartan + Hydrochlorothiazide,Antihypertensive,160mg/12.5mg,Tablet,Oral
G116,Telmisartan/Hydrochlorothiazide,Telmisartan + Hydrochlorothiazide,Antihypertensive,80mg/12.5mg,Tablet,Oral
G117,Perindopril/Amlodipine,Perindopril + Amlodipine,Antihypertensive,"5mg/5mg, 10mg/10mg",Tablet,Oral
G118,Perindopril/Indapamide/Amlodipine,Perindopril + Indapamide + Amlodipine,Antihypertensive,"5mg/1.25mg/5mg, 10mg/2.5mg/10mg",Tablet,Oral
G119,Gliclazide,Gliclazide,Antidiabetic (Sulfonylurea),60mg,Tablet,Oral
G120,Acetylsalicylic Acid,Aspirin,Antiplatelet,75mg,Tablet,Oral
G121,Amlodipine/Valsartan,Amlodipine + Valsartan,Antihypertensive,"10mg/160mg, 10mg/320mg",Tablet,Oral
G122,Amlodipine/Valsartan/Hydrochlorothiazide,Amlodipine + Valsartan + HCTZ,Antihypertensive,10mg/160mg/12.5mg,Tablet,Oral
G123,Dapagliflozin,Dapagliflozin,Antidiabetic (SGLT2 Inhibitor),10mg,Tablet,Oral
G124,Hydrochlorothiazide,Hydrochlorothiazide,Diuretic (Thiazide),25mg,Tablet,Oral
G125,Insulin Glargine,Insulin Glargine,Antidiabetic (Long-acting Insulin),-,Injection,SC
G126,Empagliflozin,Empagliflozin,Antidiabetic (SGLT2 Inhibitor),10mg,Tablet,Oral
G127,Linagliptin,Linagliptin,Antidiabetic (DPP-4 Inhibitor),5mg,Tablet,Oral
G128,Lisinopril,Lisinopril,Antihypertensive (ACE Inhibitor),"5mg, 10mg",Tablet,Oral
G129,Metformin Extended Release,Metformin XR,Antidiabetic,"750mg, 1000mg",Tablet,Oral
G130,Losartan,Losartan,Antihypertensive (ARB),50mg,Tablet,Oral
G131,Glimepiride,Glimepiride,Antidiabetic (Sulfonylurea),4mg,Tablet,Oral
G132,Vildagliptin,Vildagliptin,Antidiabetic (DPP-4 Inhibitor),50mg,Tablet,Oral
G133,Indapamide,Indapamide,Diuretic,1.5mg,Tablet,Oral
G134,Nifedipine,Nifedipine,Antihypertensive (CCB),"20mg, 30mg",Tablet,Oral
G135,Insulin Aspart/Protamine Insulin,Biphasic Insulin Aspart,Antidiabetic (Insulin),100IU/ml,Injection,SC
G136,Insulin Aspart,Insulin Aspart,Antidiabetic (Rapid-acting Insulin),100IU/ml,Injection,SC
G137,Liraglutide,Liraglutide,Antidiabetic (GLP-1 Agonist),6mg/ml,Injection,SC
G138,Dabigatran,Dabigatran,Anticoagulant,"110mg, 150mg",Capsule,Oral
G139,Amiloride/Hydrochlorothiazide,Amiloride + Hydrochlorothiazide,Diuretic,5mg/25mg,Tablet,Oral
G140,Vildagliptin/Metformin,Vildagliptin + Metformin,Antidiabetic,50mg/1000mg,Tablet,Oral
G141,Rosuvastatin,Rosuvastatin,Lipid Lowering (Statin),20mg,Tablet,Oral
G142,Telmisartan/Amlodipine,Telmisartan + Amlodipine,Antihypertensive,80mg/10mg,Tablet,Oral
G143,Carvedilol,Carvedilol,Antihypertensive (Beta Blocker),6.25mg,Tablet,Oral
G144,Doxazosin,Doxazosin,Antihypertensive (Alpha Blocker),4mg,Tablet,Oral
G145,Alfuzosin,Alfuzosin,Urology (Alpha Blocker),10mg,Tablet,Oral
G146,Allopurinol,Allopurinol,Antigout,"100mg, 300mg",Tablet,Oral
G147,Carbidopa/Levodopa,Carbidopa + Levodopa,Antiparkinson,25mg/250mg,Tablet,Oral
G148,Entecavir,Entecavir,Antiviral (Hepatitis B),0.5mg,Tablet,Oral
G149,Rivaroxaban,Rivaroxaban,Anticoagulant,20mg,Tablet,Oral
G150,Levetiracetam,Levetiracetam,Anticonvulsant,500mg,Tablet,Oral
G151,Furosemide,Furosemide,Diuretic (Loop),"20mg, 40mg",Tablet,Oral
G152,Atenolol,Atenolol,Antihypertensive (Beta Blocker),"50mg, 100mg",Tablet,Oral
G153,Levothyroxine,Levothyroxine,Thyroid Hormone,"25mcg, 50mcg, 100mcg",Tablet,Oral
G154,Bicalutamide,Bicalutamide,Anticancer (Antiandrogen),"50mg, 150mg",Tablet,Oral
