Brand_ID,Brand_Name,Generic_ID,Generic_Name,Product_Code,Unit,Strength,Form,Category,Manufacturer,Pack_Size
B022,Zithromax 250mg,G012,Azithromycin,ZIT250,Capsule,250mg,Capsule,Antibiotic,Pfizer,
B023,Zetro 500mg,G012,Azithromycin,ZET500,Tablet,500mg,Tablet,Antibiotic,,
B024,Arthrotec 75mg,G013,Diclofenac/Misoprostol,ART75,Tablet,75mg,Tablet,NSAID/GI,Pfizer,
B025,Orelox 200mg,G014,Cefpodoxime,ORE200,Tablet,200mg,Tablet,Antibiotic,Sanofi,
B026,Epilim Chrono 500mg,G015,Sodium Valproate,EPI500,Tablet,500mg,CR Tablet,Anticonvulsant,Sanofi,
B027,Daravit Forte,G016,Multivitamins,DAR-F,Capsule,,Capsule,Supplements,,
B028,Astymin Syrup,G016,Multivitamins,AST-S,Bottle,,Syrup,Supplements,,
B029,Astymin Capsules,G016,Multivitamins,AST-C,Capsule,,Capsule,Supplements,,
B030,Arthocare Forte,G016,Multivitamins,ATH-F,Capsule,,Capsule,Supplements,,
B031,Wellman,G016,Multivitamins,WLM,Capsule,,Capsule,Supplements,Vitabiotics,
B032,Wellman 50+,G016,Multivitamins,WLM50,Capsule,,Capsule,Supplements,Vitabiotics,
B033,Wellwoman,G016,Multivitamins,WLW,Capsule,,Capsule,Supplements,Vitabiotics,
B034,Wellwoman 50+,G016,Multivitamins,WLW50,Capsule,,Capsule,Supplements,Vitabiotics,
B035,Alphabetic Caplets,G016,Multivitamins,ALPH,Caplet,,Caplet,Supplements,,
B036,Bone Flex,G016,Multivitamins,BNFX,Capsule,,Capsule,Supplements,,
B037,Reload Men's Formula,G016,Multivitamins,RLM,Capsule,,Capsule,Supplements,,
B038,Reload Women's Formula,G016,Multivitamins,RLW,Capsule,,Capsule,Supplements,,
B039,Reload Men 50+,G016,Multivitamins,RLM50,Capsule,,Capsule,Supplements,,
B040,Reload Women 50+,G016,Multivitamins,RLW50,Capsule,,Capsule,Supplements,,
B041,Homtamin Ginseng,G016,Multivitamins,HOM-G,Capsule,,Capsule,Supplements,,
B042,Ciprotab 500mg,G017,Ciprofloxacin,CIP500,Tablet,500mg,Tablet,Antibiotic,,
B043,Cefuroxime Suspension,G018,Cefuroxime,CEF125S,Bottle,125mg/5ml,Suspension,Antibiotic,,
B044,Cefuroxime Tab 500mg,G018,Cefuroxime,CEF500,Tablet,500mg,Tablet,Antibiotic,,
B045,Astyfer Syrup,G019,Iron Containing Multivitamin,ATF-S,Bottle,,Syrup,Haematinics,,
B046,Astyfer Capsules,G019,Iron Containing Multivitamin,ATF-C,Capsule,,Capsule,Haematinics,,
B047,King's Tonic,G019,Iron Containing Multivitamin,KNG-T,Bottle,,Syrup,Haematinics,,
B048,Pyrox-Combi,G021,Rabeprazole/Clarithromycin/Amoxicillin,PYR-C,Tablet,20/500mg/1g,Tablet,H. Pylori,,
B049,Pyrox 20mg,G020,Rabeprazole,PYR20,Tablet,20mg,Tablet,PPI,,
B050,Barole Injection,G020,Rabeprazole,BAR20,Vial,20mg,Injection,PPI,,
B051,Fastum Gel,G022,Ketoprofen,FAS-G,Tube,,Gel,NSAID,Menarini,
B052,Ketovail 200mg,G022,Ketoprofen,KET200,Tablet,200mg,Tablet,NSAID,,
B053,Zyncef Syrup,G023,Cetirizine,ZYN5S,Bottle,5mg/5ml,Syrup,Antihistamine,,
B054,Zyncef Tablets,G023,Cetirizine,ZYN10,Tablet,10mg,Tablet,Antihistamine,,
B055,Fungusol Powder,G024,Miconazole,FUN-P,Container,,Powder,Antifungal,,
B056,Neurotex Forte,G025,Vitamin B1 B6 B12,NEU-F,Caplet,,Caplet,Supplements,,
B057,Anorol,G026,Paracetamol/Orphenadrine,ANO,Tablet,450/35mg,Tablet,Analgesic,,
B058,Loratyn 10mg,G027,Loratadine,LOR10,Tablet,10mg,Tablet,Antihistamine,,
B059,Perilon 5mg,G028,Prednisolone,PER5,Tablet,5mg,Tablet,Corticosteroid,,
B060,Coloseal 2mg,G029,Loperamide,COL2,Capsule,2mg,Capsule,Antidiarrheal,,
B061,Flucox 150mg,G030,Fluconazole,FLU150,Capsule,150mg,Capsule,Antifungal,,
B062,Fluconazole 50mg,G030,Fluconazole,FLU50,Capsule,50mg,Capsule,Antifungal,,
B063,Sinufed,G031,Triprolidine/Pseudoephedrine,SIN-T,Tablet,2.5/60mg,Tablet,Decongestant,,
B064,Tricuten Cream,G032,Clotrimazole/Gentamicin/Dexamethasone,TRI-C,Tube,,Cream,Topical,,
B065,Clotrimazole Cream,G033,Clotrimazole,CLT-C,Tube,,Cream,Antifungal,,
B066,Galcipro-TN,G034,Ciprofloxacin/Tinidazole,GAL-TN,Tablet,500/600mg,Tablet,Antibiotic,,
B067,Avrocid Suspension,G035,Antacid,AVR-S,Bottle,,Suspension,GI,Avro,
B068,Acipep Suspension,G035,Antacid,ACI-S,Bottle,,Suspension,GI,,
B069,Acipep Chewable,G035,Antacid,ACI-T,Tablet,,Chewable Tablet,GI,,
B070,Avrofen Suspension,G036,Ibuprofen,AVRF-S,Bottle,,Suspension,NSAID,Avro,
B071,Avrofen Gel,G036,Ibuprofen,AVRF-G,Tube,,Gel,NSAID,Avro,
B072,Nurofen Express 400mg,G036,Ibuprofen,NUR400,Capsule,400mg,Capsule,NSAID,Reckitt,
B073,Emprofen Suspension,G036,Ibuprofen,EMP100S,Bottle,100mg/5ml,Suspension,NSAID,Emzor,
B074,Ibunova 400mg,G036,Ibuprofen,IBU400,Capsule,400mg,Capsule,NSAID,,
B075,Loxagyl 400mg,G037,Metronidazole,LOX400,Tablet,400mg,Tablet,Antibiotic,,
B076,Loxagyl 200mg,G037,Metronidazole,LOX200,Tablet,200mg,Tablet,Antibiotic,,
B077,Emgyl Suspension,G037,Metronidazole,EMG200S,Bottle,200mg/5ml,Suspension,Antibiotic,Emzor,
B078,Avrobalm,G038,Methyl Salicylate,AVR-B,Tube,,Liniment,Topical Analgesic,Avro,
B079,Avro C Syrup,G039,Vitamin C,AVRC-S,Bottle,300mg/5ml,Syrup,Supplements,Avro,
B080,EmVit C 100mg,G039,Vitamin C,EMC100,Tablet,100mg,Tablet,Supplements,Emzor,
B081,Vitamin C 1000mg,G039,Vitamin C,VTC1000,Capsule,1000mg,Capsule,Supplements,,
B082,CAC 1000,G039,Vitamin C/Calcium,CAC1000,Tablet,1000mg,Effervescent Tablet,Supplements,,
B083,Zoladex 10.8mg,G040,Goserelin,ZOL10.8,Syringe,10.8mg,Injection,Hormonal,AstraZeneca,
B084,Nexium 40mg,G041,Esomeprazole,NEX40,Capsule,40mg,Capsule,PPI,AstraZeneca,
B085,Strepsils Intensive,G042,Flurbiprofen,STR-I,Lozenge,,Lozenge,NSAID,Reckitt,
B086,Emcap Paracetamol,G043,Paracetamol,EMP500,Caplet,500mg,Caplet,Analgesic,Emzor,
B087,Folic Acid 5mg,G044,Folic Acid,FOL5,Tablet,5mg,Tablet,Supplements,,
B088,Emzolyn Adult,G045,Diphenhydramine Compound,EMZA,Bottle,,Syrup,Cough,Emzor,
B089,Emzolyn Children,G045,Diphenhydramine Compound,EMZC,Bottle,,Syrup,Cough,Emzor,
B090,Chlorpheniramine Syrup,G046,Chlorpheniramine,CHL2S,Bottle,2mg/5ml,Syrup,Antihistamine,,
B091,Coxiget 200mg,G047,Celecoxib,COX200,Capsule,200mg,Capsule,NSAID,,
B092,Moxiget 400mg,G048,Moxifloxacin,MOX400,Tablet,400mg,Tablet,Antibiotic,,
B093,Fanymox Eye Drops,G048,Moxifloxacin,MOX-E,Bottle,0.5%,Eye Drops,Antibiotic,,
B094,Febo-G 80mg,G049,Febuxostat,FEB80,Tablet,80mg,Tablet,Antigout,,
B095,Febo-G 40mg,G049,Febuxostat,FEB40,Tablet,40mg,Tablet,Antigout,,
B096,Fortide Inhaler,G050,Budesonide/Formoterol,FOR-I,Inhaler,200/6mcg,Inhaler,Respiratory,,
B097,Fexet 120mg,G051,Fexofenadine,FEX120,Tablet,120mg,Tablet,Antihistamine,,
B098,Getzome 40mg,G052,Omeprazole,GTZ40,Vial,40mg,Powder,PPI,,
B099,Getzome 20mg,G052,Omeprazole,GTZ20,Capsule,20mg,Capsule,PPI,,
B100,Coenzyme Q10 100mg,G053,Coenzyme Q10,COQ100,Capsule,100mg,Capsule,Supplements,,
B101,Probiotic,G054,Probiotic,PRO-C,Capsule,,Capsule,Supplements,,
B102,Eyecap,G054,Eye Antioxidant,EYE-C,Capsule,,Capsule,Supplements,,
B103,Vitamin D 5000IU,G055,Vitamin D,VTD5000,Capsule,5000IU,Capsule,Supplements,,
B104,Patanol Eye Drops,G056,Olopatadine,PAT-E,Bottle,,Eye Drops,Ophthalmic,Alcon,
B105,Livolin Forte,G057,Phospholipids with Vitamins,LIV-F,Capsule,,Capsule,Hepatoprotective,,
B106,Nat-B,G058,Vitamin B Complex,NAT-B,Tablet,,Tablet,Supplements,,
B107,E-Nat 400IU,G058,Vitamin E,ENAT400,Capsule,400IU,Capsule,Supplements,,
B108,Ligaba 75mg,G059,Pregabalin,LIG75,Capsule,75mg,Capsule,Neuropathic,,
B109,Lirapyn 75mg,G059,Pregabalin,LIR75,Capsule,75mg,Capsule,Neuropathic,,
B110,Chloramphenicol Eye Drop,G060,Chloramphenicol,CHL-E,Bottle,0.5%,Eye Drops,Antibiotic,,
B111,Tenofovir 300mg,G061,Tenofovir,TEN300,Capsule,300mg,Capsule,Antiviral,,
B112,Hypromellose Eye Drop,G062,Hypromellose,HYP-E,Bottle,,Eye Drops,Lubricant,,
B113,Latanoprost Eye Drops,G063,Latanoprost,LAT-E,Bottle,,Eye Drops,Antiglaucoma,,
B114,Xalatan Eye Drops,G063,Latanoprost,XAL-E,Bottle,,Eye Drops,Antiglaucoma,Pfizer,
B115,Maxivision,G063,Eye Supplements,MAX-E,Capsule,,Capsule,Supplements,,
B116,Xalacom Eye Drop,G064,Latanoprost/Timolol,XAL-C,Bottle,,Eye Drops,Antiglaucoma,Pfizer,
B117,Alphagan Eye Drop,G065,Brimonidine,ALP-E,Bottle,,Eye Drops,Antiglaucoma,Allergan,
B118,Brimonidine Eye Drops,G065,Brimonidine,BRI-E,Bottle,,Eye Drops,Antiglaucoma,,
B119,Misopt Eye Drops,G066,Dorzolamide/Timolol,MIS-E,Bottle,,Eye Drops,Antiglaucoma,,
B120,Beoptic-N Eye/Ear Drop,G067,Betamethasone/Neomycin,BEO-E,Bottle,,Eye/Ear Drops,Steroid/Antibiotic,,
B121,Beoptic-N Eye Ointment,G067,Betamethasone/Neomycin,BEO-O,Tube,,Ointment,Steroid/Antibiotic,,
B122,Quadriclear Cream,G068,Betamethasone/Gentamicin/Tolnaftate/Clioquinol,QUA-C,Tube,,Cream,Topical,,
B123,Menthodex Cough Syrup,G045,Diphenhydramine Compound,MEN-S,Bottle,,Syrup,Cough,,
B124,Neurogesic Extra,G010,Menthol/Diclofenac,NEU-G,Tube,,Liniment,Topical Analgesic,,
B125,Buscopan 10mg,G069,Hyoscine,BUS10,Tablet,10mg,Tablet,Antispasmodic,Boehringer,
B126,Sailin HbS 300mg,HERB01,Herbal,SAI300,Capsule,300mg,Capsule,Herbal,,
B127,Reludrine 100mg,G070,Proguanil,REL100,Tablet,100mg,Tablet,Antimalarial,,
B128,Co-Codamol 8/500mg,G071,Codeine/Paracetamol,COC8500,Tablet,8/500mg,Tablet,Analgesic,,
B129,Revive Caps,HERB02,Herbal,REV-C,Capsule,,Capsule,Herbal,,
B130,Sumatriptan 50mg,G072,Sumatriptan,SUM50,Tablet,50mg,Tablet,Antimigraine,,
B131,Verifine Pen Needles,DEV01,Medical Device,VER-N,Piece,,Needle,Device,,
B132,Shaltoux Lozenges,OTC01,Lozenges,SHA-L,Lozenge,,Lozenge,Cough,,
B133,Lyntriaxone 1g,G073,Ceftriaxone,LYN1G,Vial,1g,Injection,Antibiotic,,
B134,Rocephin 1g,G073,Ceftriaxone,ROC1G,Vial,1g,Injection,Antibiotic,Roche,
B135,Ketosteril,G074,Keto-Analogue of Amino Acids,KET-A,Tablet,,Tablet,Renal,Fresenius,
B136,Cotozal TZ Plus,G075,Fluconazole/Tinidazole/Azithromycin,COT-TZ,Tablet,150/1000/1000mg,Tablet,Combination,,
B137,Emal Injection,G076,Arteether,EMA150,Ampoule,150mg/2ml,Injection,Antimalarial,,
B138,P-Alaxin Suspension,G077,Dihydroartemisinin/Piperaquine,PAL80640,Bottle,80/640mg,Suspension,Antimalarial,,
B139,Biopentin 300/50mcg,G078,Gabapentin/Methylcobalamin,BIO300,Tablet,300/50mcg,Tablet,Neuropathic,,
B140,Otomed Ear Drop,G079,Otic Combination,OTO-E,Bottle,,Ear Drops,Otic,,
B141,Artesun 30mg,G080,Artesunate,ART30,Vial,30mg,Injection,Antimalarial,,
B142,Artesun 60mg,G080,Artesunate,ART60,Vial,60mg,Injection,Antimalarial,,
B143,Tegretol 400mg CR,G081,Carbamazepine,TEG400,Tablet,400mg,CR Tablet,Anticonvulsant,Novartis,
B144,Tegretol 200mg,G081,Carbamazepine,TEG200,Tablet,200mg,Tablet,Anticonvulsant,Novartis,
B145,Calcimax,G082,Calcium,CAL-M,Tablet,,Tablet,Supplements,,
B146,Stugeron 25mg,G083,Cinnarizine,STU25,Tablet,25mg,Tablet,Antivertigo,Janssen,
B147,Fenofibrate 160mg,G084,Fenofibrate,FEN160,Tablet,160mg,Tablet,Lipid,,
B148,Liquid Paraffin,G085,Liquid Paraffin,LIQ-P,Bottle,,Syrup,Laxative,,
B149,Cafergot,G086,Ergotamine/Caffeine,CAF1100,Tablet,1/100mg,Tablet,Antimigraine,Novartis,
B150,Neuracalm 75/750mcg,G087,Pregabalin/Methylcobalamin,NEU75,Tablet,75/750mcg,Tablet,Neuropathic,,
B151,Sulfasalazine 500mg,G088,Sulfasalazine,SUL500,Tablet,500mg,Tablet,DMARD,,
B152,Tavanic 500mg,G089,Levofloxacin,TAV500,Tablet,500mg,Tablet,Antibiotic,Sanofi,
B153,Nasodyne Adults,G090,Carbocisteine,NAS-A,Bottle,,Syrup,Mucolytic,,
B154,Nasodyne Children,G091,Carbocisteine/Promethazine,NAS-C,Bottle,,Syrup,Mucolytic,,
B155,Escitalopram 10mg,G092,Escitalopram,ESC10,Tablet,10mg,Tablet,Antidepressant,,
B156,Robinax 500mg,G093,Methocarbamol,ROB500,Tablet,500mg,Tablet,Muscle Relaxant,,
B157,Silotrif 8mg,G094,Silodosin,SIL8,Tablet,8mg,Tablet,Urology,,
B158,Swiclone 7.5mg,G095,Zopiclone,SWI7.5,Tablet,7.5mg,Tablet,Hypnotic,,
B159,Tot'hema,G096,Copper/Iron/Manganese,TOT-H,Bottle,,Oral Solution,Haematinics,,
B160,Fosfolag 3g,G097,Fosfomycin,FOS3G,Sachet,3g,Granules,Antibiotic,,
B161,Cellgivity,SUPP01,Dietary Supplement,CEL-G,Capsule,,Capsule,Supplements,,
B162,Benylin 4Flu,G098,Paracetamol/Diphenhydramine/Pseudoephedrine,BEN4F,Bottle,,Syrup,Cold & Flu,Johnson & Johnson,
B163,Prostatonin,SUPP02,Prostate Supplement,PRO-T,Capsule,,Capsule,Urology,,
B164,Benylin Original,G099,Diphenhydramine,BEN-O,Bottle,,Syrup,Cough,Johnson & Johnson,
B165,Gynocare Ovules,G100,Nystatin/Neomycin/Polymyxin,GYN-O,Ovule,,Ovules,Antifungal,,
B166,Tongue Depressor,DEV02,Medical Device,TNG-D,Piece,,Device,Device,,
B167,Renerve Plus,G101,Methylcobalamin/Alpha-Lipoic Acid,REN-P,Capsule,,Capsule,Neuropathic,,
B168,Aldactone 25mg,G102,Spironolactone,ALD25,Tablet,25mg,Tablet,Diuretic,Pfizer,
B169,Telmisartan 80mg,G103,Telmisartan,TEL80,Tablet,80mg,Tablet,Antihypertensive,,
B170,Micardis 40mg,G103,Telmisartan,MIC40,Tablet,40mg,Tablet,Antihypertensive,Boehringer,
B171,Micardis 80mg,G103,Telmisartan,MIC80,Tablet,80mg,Tablet,Antihypertensive,Boehringer,
B172,Dopatab 250mg,G104,Methyldopa,DOP250,Tablet,250mg,Tablet,Antihypertensive,,
B173,Amlong 10mg,G105,Amlodipine,AML10,Tablet,10mg,Tablet,Antihypertensive,,
B174,Amlong 5mg,G105,Amlodipine,AML5,Tablet,5mg,Tablet,Antihypertensive,,
B175,Norvasc 10mg,G105,Amlodipine,NOR10,Tablet,10mg,Tablet,Antihypertensive,Pfizer,
B176,Norvasc 5mg,G105,Amlodipine,NOR5,Tablet,5mg,Tablet,Antihypertensive,Pfizer,
B177,Aprovasc 300/10mg,G106,Irbesartan/Amlodipine,APR300,Tablet,300/10mg,Tablet,Antihypertensive,Sanofi,
B178,Advantec 16/12.5mg,G107,Candesartan/Hydrochlorothiazide,ADV16,Tablet,16/12.5mg,Tablet,Antihypertensive,,
B179,Advant 8mg,G108,Candesartan,ADV8,Tablet,8mg,Tablet,Antihypertensive,,
B180,Advant 16mg,G108,Candesartan,ADV16T,Tablet,16mg,Tablet,Antihypertensive,,
B181,Atacand 8mg,G108,Candesartan,ATA8,Tablet,8mg,Tablet,Antihypertensive,AstraZeneca,
B182,Atacand 16mg,G108,Candesartan,ATA16,Tablet,16mg,Tablet,Antihypertensive,AstraZeneca,
B183,Atacand 32mg,G108,Candesartan,ATA32,Tablet,32mg,Tablet,Antihypertensive,AstraZeneca,
B184,Atorvastatin 10mg,G109,Atorvastatin,ATO10,Tablet,10mg,Tablet,Lipid,,
B185,Atorvastatin 20mg,G109,Atorvastatin,ATO20,Tablet,20mg,Tablet,Lipid,,
B186,Lipitor 10mg,G109,Atorvastatin,LIP10,Tablet,10mg,Tablet,Lipid,Pfizer,
B187,Lipitor 20mg,G109,Atorvastatin,LIP20,Tablet,20mg,Tablet,Lipid,Pfizer,
B188,Lipitor 40mg,G109,Atorvastatin,LIP40,Tablet,40mg,Tablet,Lipid,Pfizer,
B189,Diabetmin 500mg,G110,Metformin,DIA500,Tablet,500mg,Tablet,Antidiabetic,,
B190,Glucophage 850mg,G110,Metformin,GLU850,Tablet,850mg,Tablet,Antidiabetic,Merck,
B191,Metformin 1000mg,G110,Metformin,MET1000,Tablet,1000mg,Tablet,Antidiabetic,,
B192,Glucophage XR 750mg,G129,Metformin Extended Release,GLUXR750,Tablet,750mg,XR Tablet,Antidiabetic,Merck,
B193,Glucophage XR 1000mg,G129,Metformin Extended Release,GLUXR1000,Tablet,1000mg,XR Tablet,Antidiabetic,Merck,
B194,Bendroflumethiazide 2.5mg,G111,Bendroflumethiazide,BEN2.5,Tablet,2.5mg,Tablet,Diuretic,,
B195,Inderal 40mg,G112,Propranolol,IND40,Tablet,40mg,Tablet,Beta Blocker,AstraZeneca,
B196,Bisoprolol 2.5mg,G113,Bisoprolol,BIS2.5,Tablet,2.5mg,Tablet,Beta Blocker,,
B197,Diovan 80mg,G114,Valsartan,DIO80,Tablet,80mg,Tablet,Antihypertensive,Novartis,
B198,Diovan 160mg,G114,Valsartan,DIO160,Tablet,160mg,Tablet,Antihypertensive,Novartis,
B199,Nucard 80mg,G114,Valsartan,NUC80,Tablet,80mg,Tablet,Antihypertensive,,
B200,Nucard 160mg,G114,Valsartan,NUC160,Tablet,160mg,Tablet,Antihypertensive,,
B201,Co-Diovan 160/12.5mg,G115,Valsartan/Hydrochlorothiazide,COD160,Tablet,160/12.5mg,Tablet,Antihypertensive,Novartis,
B202,Co-Micardis 80/12.5mg,G116,Telmisartan/Hydrochlorothiazide,COM80,Tablet,80/12.5mg,Tablet,Antihypertensive,Boehringer,
B203,Coveram 5/5mg,G117,Perindopril/Amlodipine,COV55,Tablet,5/5mg,Tablet,Antihypertensive,Servier,
B204,Coveram 10/10mg,G117,Perindopril/Amlodipine,COV1010,Tablet,10/10mg,Tablet,Antihypertensive,Servier,
B205,Coveram Plus 10/2.5/10mg,G118,Perindopril/Indapamide/Amlodipine,COVP10,Tablet,10/2.5/10mg,Tablet,Antihypertensive,Servier,
B206,Coveram Plus 5/1.25/5mg,G118,Perindopril/Indapamide/Amlodipine,COVP5,Tablet,5/1.25/5mg,Tablet,Antihypertensive,Servier,
B207,Diamicron MR 60mg,G119,Gliclazide,DIM60,Tablet,60mg,MR Tablet,Antidiabetic,Servier,
B208,Empirin 75mg,G120,Acetylsalicylic Acid,EMP75,Tablet,75mg,Tablet,Antiplatelet,,
B209,Micropirin 75mg,G120,Acetylsalicylic Acid,MIC75,Tablet,75mg,Tablet,Antiplatelet,,
B210,Exforge 10/320mg,G121,Amlodipine/Valsartan,EXF10320,Tablet,10/320mg,Tablet,Antihypertensive,Novartis,
B211,Avsar 160/10mg,G121,Amlodipine/Valsartan,AVS16010,Tablet,160/10mg,Tablet,Antihypertensive,,
B212,Exforge HCT 10/160/12.5mg,G122,Amlodipine/Valsartan/Hydrochlorothiazide,EXFH,Tablet,10/160/12.5mg,Tablet,Antihypertensive,Novartis,
B213,Forxiga 10mg,G123,Dapagliflozin,FOR10,Tablet,10mg,Tablet,Antidiabetic,AstraZeneca,
B214,Hydrex 25mg,G124,Hydrochlorothiazide,HYD25,Tablet,25mg,Tablet,Diuretic,,
B215,Lantus 1.2g,G125,Insulin Glargine,LAN-I,Pen,,Injection,Antidiabetic,Sanofi,
B216,Jardiance 10mg,G126,Empagliflozin,JAR10,Tablet,10mg,Tablet,Antidiabetic,Boehringer,
B217,Linagliptin 5mg,G127,Linagliptin,LIN5,Tablet,5mg,Tablet,Antidiabetic,,
B218,Lisinopril 10mg,G128,Lisinopril,LIS10,Tablet,10mg,Tablet,Antihypertensive,,
B219,Lisinopril 5mg,G128,Lisinopril,LIS5,Tablet,5mg,Tablet,Antihypertensive,,
B220,Losartan 50mg,G130,Losartan,LOS50,Tablet,50mg,Tablet,Antihypertensive,,
B221,Mepiryl 4mg,G131,Glimepiride,MEP4,Tablet,4mg,Tablet,Antidiabetic,,
B222,Vildagliptin 50mg,G132,Vildagliptin,VIL50,Tablet,50mg,Tablet,Antidiabetic,,
B223,Galvus 50mg,G132,Vildagliptin,GAL50,Tablet,50mg,Tablet,Antidiabetic,Novartis,
B224,Natrilix SR 1.5mg,G133,Indapamide,NAT1.5,Tablet,1.5mg,SR Tablet,Diuretic,Servier,
B225,Nifecard XL 30mg,G134,Nifedipine,NIF30,Tablet,30mg,XL Tablet,Antihypertensive,,
B226,Nifedipine Dexcel 20mg,G134,Nifedipine,NIF20,Tablet,20mg,Tablet,Antihypertensive,,
B227,Novomix,G135,Insulin Aspart/Protamine Insulin,NOV-M,Pen,100IU/ml,Injection,Antidiabetic,Novo Nordisk,
B228,Novorapid,G136,Insulin Aspart,NOV-R,Pen,100IU/ml,Injection,Antidiabetic,Novo Nordisk,
B229,Victoza 6mg/ml,G137,Liraglutide,VIC6,Pen,6mg/ml,Injection,Antidiabetic,Novo Nordisk,
B230,Pradaxa 150mg,G138,Dabigatran,PRA150,Capsule,150mg,Capsule,Anticoagulant,Boehringer,
B231,Pradaxa 110mg,G138,Dabigatran,PRA110,Capsule,110mg,Capsule,Anticoagulant,Boehringer,
B232,Alphabetic Diabetic,SUPP03,Diabetic Supplement,ALPHD,Capsule,,Capsule,Supplements,,
B233,Normoretic 5/25mg,G139,Amiloride/Hydrochlorothiazide,NRM525,Tablet,5/25mg,Tablet,Diuretic,,
B234,Galvus/Met 50/1000mg,G140,Vildagliptin/Metformin,GALM501000,Tablet,50/1000mg,Tablet,Antidiabetic,Novartis,
B235,Vildagliptin/Metformin 50/1000mg,G140,Vildagliptin/Metformin,VILM501000,Tablet,50/1000mg,Tablet,Antidiabetic,,
B236,Rosuvastatin 20mg,G141,Rosuvastatin,ROS20,Tablet,20mg,Tablet,Lipid,,
B237,Twynsta 80/10mg,G142,Telmisartan/Amlodipine,TWY8010,Tablet,80/10mg,Tablet,Antihypertensive,Boehringer,
B238,Carvedilol 6.25mg,G143,Carvedilol,CAR6.25,Tablet,6.25mg,Tablet,Beta Blocker,,
B239,Doxazosin 4mg,G144,Doxazosin,DOX4,Tablet,4mg,Tablet,Alpha Blocker,,
B240,Alfuzosin 10mg,G145,Alfuzosin,ALF10,Tablet,10mg,Tablet,Urology,,
B241,Zyloric 100mg,G146,Allopurinol,ZYL100,Tablet,100mg,Tablet,Antigout,GSK,
B242,Zyloric 300mg,G146,Allopurinol,ZYL300,Tablet,300mg,Tablet,Antigout,GSK,
B243,Sinemet 25/250mg,G147,Carbidopa/Levodopa,SIN25250,Tablet,25/250mg,Tablet,Antiparkinson,MSD,
B244,Entecavir 0.5mg,G148,Entecavir,ENT0.5,Tablet,0.5mg,Tablet,Antiviral,,
B245,Xarelto 20mg,G149,Rivaroxaban,XAR20,Tablet,20mg,Tablet,Anticoagulant,Bayer,
B246,Keppra 500mg,G150,Levetiracetam,KEP500,Tablet,500mg,Tablet,Anticonvulsant,UCB,
B247,Furosemide 20mg,G151,Furosemide,FUR20,Tablet,20mg,Tablet,Diuretic,,
B248,Furosemide 40mg,G151,Furosemide,FUR40,Tablet,40mg,Tablet,Diuretic,,
